musical,synopsis
anewbrain,
aintmisbehavin,"Such a writer of songs like Fats Waller, who was the Afro American, left a rich heritage and now, based on his singing, they have created and played a musical. Murray Horwitz wrote the book and Richard Maltby actively helped him in this. The music and lyrics were written by many composers and writers for this production – their names are too numerous to mention. Fats Waller had a song that gave its name to the whole musical – ""Ain't Misbehavin’”, which means “Don’t misbehave”.  There is no story in a musical, as such. Everything in it are: different people perform different songs. Men and women. Neat and dressed in evening dresses and suits. And the songs – not combed and not tolerant, having lots of social incomprehensibility, and with such humor that requires visual support to make it funny. That is – the most primitive one. These songs are about the state of the soul in the style of funk, primitive jazz, folk and ethno. This behavior on stage is to show how beautiful you are pulling a suit on or gown named as dress, because your immense figure fits in nothing because you eat unhealthy food in very large quantities. It's about how to go on the stage and sing something without even any hint of development, but simply do the fool, throwing the leg over the other."
childrenofeden,"""Let There Be"" opens the story of creation, Book of Genesis. Here the Creator though populated Earth with people, animals, fish and reptiles, for some reason does not want Adam and Eve approached and get acquainted. In addition to the fact that Eve violates the prohibition to come close to the Tree of Knowledge, she is also constantly wants something more than having today, representing a significant desire for knowledge, unlike Adam, who looks like a scatty boy.  There is a very interesting storyline dualism, which is almost never portrayed in the classical adaptations of the original biblical story. Adam turns out to have a choice – to either stay in the Garden of Eden or either to bite from the Apple of Knowledge and being ejected along with Eve. He chooses to stay with Eve, and banished from the Garden, and then they have children with well-known names. Cain as much as his mother, eager to learn and gives the word to his parents that he would find the Garden of Eden, going on a journey. During the search, he discovers traces of the presence of other people, saying this to his father. Adam admits that he knew about it, but was afraid to tell a family because of the negative consequences. Cain becomes hysterical, and in the heat of a fight with his father, accidentally kills his brother, raising his hand to kill Adam. Adam curses Cain for eternity. Eve gives birth to another son, Seth, who had his own children. Eva dies.  Then many of the descendants are born from Cain and Seth, and it comes to Noah and his family, and the second act of the musical tells about events from Noah’s life. He learns about the great flood and he builds The Arc. All three sons of Noah are on the Ark with their wives, while a third had some trouble because of his wife, due to Noah who initially did not want to take her along, because she was a descendant of Cain, fratricide, and wore the mark of his tribe.  After discovering that his wife is aboard, at first, other wanted to throw her overboard, but husband did not allow his brothers to do so. The case turns into a fight, but wise Noah decides that even people from a sort of Cain deserve to live, as Deity wanted to let them to, so he leaves her on the board. Soon there comes an enlightenment in the veil of heaven and they see the stars, the flood subsides and they are preparing for a new life (""In the Beginning"")."
highschoolmusicalonstage,"The show begins with a scene at school. Troy says to his friends that he has met Gabriella. Then Sharpay and her brother Rayan appear. The girl is very vainglorious and constantly demands that Rayan should follow her orders. He agrees, but at the same time, he doesn't want to quarrel with anybody. In the following scene, a viewer is transferred to the moment at a party, when Troy and Gabriella meet.  Imperceptible and modest Kelsey writes her own version of ""Romeo and Juliette"". The students put show on the stage under the guidance of the teacher’s plan. At a lesson, Gabriella enters the class. Troy can't believe in it. He dials her number, which she has given him. The teacher, who hates mobiles at the lesson, punishes them and the guys, who interceded for them. Troy and Gabriella meet and talk in the corridor. Sharpay notices that Troy isn't indifferent to Gabriella.  Gabriella shows her knowledge at a chemistry lesson. Taylor suggests her to take part in the competitions with her team. But the girl refuses. They are overheard by Sharpay. Rayan and she find information about her on the Internet and enclose it into the Taylor’s locker. She publicly calls Gabriella to join their team once again and she has to agree. Sharpay and Rayan apply for receiving leading roles in the musical. But the teacher notices Troy and Gabriella singing the song before the audition and appoints the second one especially for them. Sharpay is angry. Meanwhile, the students of the school stop to be afraid to declare their dreams and desires. Troy and Gabriela dance on the roof of the school.  Sharpay says to the teacher that Troy's father (the basketball coach at school) and his son want to break the audition, because Troy was punished by her. The teacher, in her turn, speaks with the trainer. He thinks that the reason of Troy's failures is Gabriella, and says to the son that he needs to do sports, not music. They quarrel. The sportsmen repeat the words of his father and, being in rage, Troy pretends that he doesn't like Gabriella. It is recorded on the video and shown to the girl. She is very upset. Troy tries to convince Gabriella that he has told these words not seriously, but just because he was angry. She trusts him. Sharpay changes dates of the audition, so that they coincide with Troy and Gabriela's competitions. They say to their teams that they won't participate in the musical because of it. But the teams promise to help them. They persuade the teacher to allow a delay and she agrees. As a result, Troy and Gabriella's teams win competitions. The students celebrate their victory together and sing the final song."
cancan,"Simple story, which revolves around a bit scandalous, but such familiar to us dance named ""Can-Can"", which was just gaining popularity in 1893. Events taking place in the location called Bal du Paradis, dance spot and cabaret, which actively promoted this dance. The local judge, who is overly pious with outdated looks, seemed the very existence of such a dance an obscene in nature and he has sent into the cabaret the police so they pursued the theater owner and its employees. But they are fascinated and seduced by the dance performers, and in the court were so reluctant to testify that the judge was disappointed in them and decided on his own to visit the cabaret to collect compromising materials.  During his visit, he falls in love at first sight with the owner, La Môme Pistache, she does not know who he is, at this moment of time. During the visit, he makes a lot of incriminating pictures and owner of the club, as well as all of her dancers, are jailed.  A member of the team that has not got to the prison, found a young man who is an over viewer of a nightlife and social events. She dines with him, insisting he would write a good review of their cabaret and, in particular – about the ""Can-Can"" dance, to rescue their troupe from prison. He was also aware of their existence and wanted to enact them in the show that was going to be arranged in one of the other places, but now that plans have failed because of the arrest of the dancers.  As long as they think, how to help the cause, it appears that the head leader is again a judge who thinks, not daring to decide uniquely – either he loves Pistache, and is ready to release her from prison, or else his morals are above everything else. As a result, this balancing is heading him to the fact that once an obscenity takes place only before the eyes of beholders, those who accept to visit such place, only they are responsible for what they see. So he rushes to the rescue of La Môme Pistache and releases her and all her girls out of jail. At the time of release, he kisses her – to his bad luck – this time they are eye-dropped by the photographer who made photo, where they kiss. For him, it turns into a scandal and he is deprived of the title of judge and law practice. But he and La Môme Pistache go to the courts, each in their own issue and win them. Cabaret resumes its activities, and the judge is restored to operation."
cityofangels,"A week ago, a private detective named Stone received new case from a beautiful woman named Alaura, who asked him to track down her missing stepdaughter. Then, when a man named Stine appears on stage, we understand that Stone actually is a figment of the imagination of Stine, and so Stone is the character of his new adventure-detective novel, which comes out of his head, thanks to the writers' fantasy of Stine. Narrative about the fate of these two people on the stage are beginning to weave in the story and now we see how Stone lying on a gurney in a hospital with a broken heart, an empty wallet and a bullet in the shoulder. Wife of Stine wants him to devote more time to his novels, but he prefers to live at the expense of his rich publisher, Buddy Fidler, resulting, for the most part, in his penchant for beautiful women.  One of the former partners of Stone, police Lt. Munoz, experience hostility to Stone, because could not nail him for the murder of one of the producers of Hollywood in the past, who molested his then-girlfriend. Stine took his secretary, Donna in his novel to be a prototype, and Stone pretty much copied from himself, giving a hero many of own features.  Came to the estate to his employer, Alaura, Stone sees her greedy and petty family – lustful son, a husband who cannot live without artificial lung, as well as quack-medicine man who visits them, not for the treatment of her husband, but for the sake of defrauding money. In a fit of disgust, he wants to give up the case, but he proves the opposite by Alaura, mainly by banking cheque for his services. Alaura proved to be depicted from the prototype of the wife of Buddy.  Through a series of events in finding missing stepdaughter, Stone finds her in his bed, but does not give in to the temptation. Whereas Stine is leaved by his wife and he is comforted by his secretary in her bed.  Publisher severely criticized a novel about Stone and Stine experience aversion to his character. The journalist breaks to his apartment and pictures the naked maiden in his bed, and he shoots him from his gun. Munoz gladly locks Stine down in the prison for that.  Stone visited in prison only by his secretary that is taken from Donna, who feels sympathy for Stone because he is the only one among the many men did not deceive her. Someone bails him, and then Stone is beaten-up by two thugs. Stine has problems because he now has no money for own favorable social life, and his wife finds out about his infidelity with a secretary. Though he tries to justify oneself in front of her, she did not believe him and he goes to a brothel.  Alaura is a woman who earns by murdering her husbands. Now she has lost her son somewhere, along with stepdaughter & doctor. When Stone enters her house, she just wanted to turn off the life support system of her husband, but Stone tried to stop her. At that same moment, her lover clutched a gun, and after bursting the shots, Stone ended up with a bullet in his shoulder & Alaura has appeared to be murdered. Stine’s boss fires him because he flared up against him. And he did so because Stone will be depicted on the film by some empty shallow person, and the name of his boss, Buddy, turned over his name in the list of writers of the script."
bellsareringing,"This musical may have occurred in the way as the story goes below only at a time when there were no automated telephone companies.  Ella is a worker of one of these and connects customers with each other, listens to them talking, their lives and dreams herself of the fact that her private life would not be so dull and drab. (A lot of time will pass before people will be jealous of their privacy, to give it up after some years to exchange it for the full openness of social networks). She reflects herself being on the places of many of her clients. And she falls in love with one of them, not knowing anything about him, except of his voice.  One of her clients, the writer of the play, asks her to wake him up early, and it turns so that she becomes a co-author of his play. She also accidentally overhears a friend of Susanswerphone company owner who wants to crank out a dirty little business with the help of the company and informs the group of his gang of this. But she does nothing about it.  Ella, although initially thought she would never meet with any of her clients, eventually goes home to the writer, to help him make a play. Along the way, she slows down by the police officer who believes that the telephone company is only to cover the escort services. But, failing to prove anything on the ground, releases her. Of course, Ella falls in love with the writer eventually.  Some time after, Ella goes to the party to her new beloved, but his friends at the party are pretty boring rich snobs and she feels uncomfortable there and leaves. Yet Jeff offers her a marriage and she agrees and dismissed from her job. A gangster, who wanted to use the telephone company for his machinations, is arrested by the police."
tuckeverlasting,
drseusshowthegrinchstolechristmas,
curtains,"The action takes place in a large industrial city where the new musical called ""Robin Hood"" is close to completion. Marian part is played by a local diva. In the course of the play, it becomes clear that she is very bad in her role. Having 2 flower balls from the audience, she quickly hides behind a curtain.  Later that evening, one of the co-producers talks to two soloists. They read the unflattering reviews from critics. Only a single review is turned to be good. All are disappointed by heatless critics.  The director reveals that he is going to replace the horrible actress with a new one to save the play. Meanwhile, participants in the histrionics are informed that there were a call from the hospital & one of the actresses died. The theater is visited by police lieutenant with the news that she was actually murdered. And also he believes that she was killed by someone from the troupe crew. And even maybe he or she is still in the building & so isolates it until everything will be considered done. Another actor comes from The Big Apple and the police begin to suspect him, even though he claims that he was with some unnamed woman. Officer was left alone with one of the actresses & has got fascinated by her & hopes that she isn’t an assassin. Then he meets a critic who wrote unflattering review on the histrionics & asks him to watch the show again, with a new leading actress. The critic praises the new work.  The lieutenant tells the actors that the producer blackmailed all the team so that they have worked for a small wages, and recalls that he still suspects all in the crime, but they should continue to play without interrupting regular exhibitions. Once, after the play ended with the final curtain, everyone see the producer hanging on the rope around his neck on stage.  All begin to suspect each other even more. New lead actress says that she will continue to develop the show. Suddenly, a shot is heard from behind the scenes: one of the men-actors was wounded in the arm, but the lieutenant discovers that shooter was a leading actress & she stands forward with a gun so everything decided that she was guilty. She admits that she had found the weapon but no more.  Lieutenant wants to arrest her, but secretly in love with her, and a member of a troupe takes the blame on himself and admits that he loves her & is ready to do anything for her, even to commit a murder. Despite the fact that the lieutenant feels sympathy for Nicky, he realizes that she is hiding something. Studio manager is also  killed, and we find as he knew something compromising. Suddenly, one of the troupe comes out with a head in blood, and everyone understand that behind the mask of Robin Hood on the scene another person hides.  Lieutenant solves the puzzle: the murderer is a critic. It turns out that he also is in love with Nicky and does not want her leaving to New York, so he tried to stop the show & she would stay here too. He takes Nicky as a hostage, promising to kill a policeman and tries to shoot, but the gun did not have bullets. The lieutenant captivates him & the show goes on, with a change in the composition of the actors."
fosse,"This musical is a revue, compiled in its three acts of various dance numbers that are associated with Bob Fosse – perfect dancer, an outstanding choreographer, director, actor and screenwriter who has worked both in Broadway and in filming industry. He is distinguished by the fact that he had received 8 Tonies for choreography and 1 Oscar for his phenomenally beautiful Cabaret (and nominated for the latter-mentioned award four times) for his 60-years’ life.  The musical includes 27 music + dance numbers, divided onto 9, 8, and 10 parts in each act, respectively. Each of them has, of course, its own style. For example, from the interesting Shoeless Joe Ballet (which is a clip from one of his films), where the frame contained a crowd of baseball players dancing with a woman in a blue dress, to the Rich Man's Frug, where little black dress in sequins is the main enticing part in a style of movie and cartoon called The Pink Panther. Ballets of all staging numbers are of varying quantities as well, from a few up to almost 30 people – the whole cast. Choreography is made by Richard Maltby, Jr., among others. The other two are its creators A. Reinking & C. Walker – first was his partner till the death and second was his friend."
xanadu,"Muse Clio has decided to help her artist, staying on the verge of despair because of the failed fresco. She announced her sisters that under the guise of an ordinary girl Kira, she will inspire young man on a masterpiece. Having decided not to be different from the mortal people, muse wore roller skates and leg warmers. Meanwhile, in Los Angeles, artist Sonny was trying to decide to commit suicide on a pier. Kira stopped him and returned the self-confidence. The young man told the girl of his dream to open a roller disco. When the muse returned briefly to the gods, Melpomene accused sister that she fell in love with the man and she wants to create a work of art herself. Clio has rejected it, because she knew – Zeus forbids such interference. When muse returned to the ground, Melpomene and Calliope decided to disrupt the plans of sister. They were jealous of her future reward named Xanadu, which thunderer promised to give to Clio, though no one knew what it was.  Sonny and Kira found an old theater, suitable for roller disco. Seeing that it was formerly called Xanadu, muse understood – this house was a sign from above. Meeting the owner was unsuccessful – Danny did not want to give the building to a young man. When an artist has left, Kira recalled businessman that many years ago he wanted to open the doll theater. Suddenly, Danny realized how much a girl is similar to his partner, for which he has built this building. Kira persuaded the man to give Sonny a chance to realize his dream. Having met with the artist in Xanadu, Danny agreed to provide the building if they would make an order there in one day. He also promised to give the young man 25% of future profits. Sonny asked Kira to make a drawing for the theater. Muse helped the artist, doing something herself for the first time in life. Taking advantage of the situation, Melpomene and Calliope brought love spell upon a sister. With the help of the rest of the muses, Kira was able to restore the theater.  Arriving in 24 hours, Danny said that the condition was fulfilled and now Sonny can do disco in the building. Suddenly Hermes handed Clio a message from Zeus – the muse had to return to Olympus and to answer for her misdeeds. Kira told her beloved that she had to leave. Soon she came to the fresco depicting the muses-sisters and admitted in her mistakes. Posing as a businessman engaged in the construction of real estate, Melpomene offered Danny a lot of money for the theater. After some hesitation, he agreed so the building to be demolished. When an artist came to the fresco, muse admitted that her name was Clio and she told him about her origins. Sonny thought the girl had not everything right with her head. Melpomene and Calliope said that her sister is under the spell of love right now. Clio refused to believe in the falsehood of her feelings. The artist doubted the sincerity of the muse, and they quarreled.  When the goddess left, there was Danny. Words of the sale of the theater did not touch Sonny, as he did not care anymore. Seeing Clio flying away on a winged horse, businessman realized that she was his partner many years ago. Danny rushed to rescue the theater from destruction, and the artist has decided to fight with Zeus and return the beloved. Arriving at Olympus, muse asked forgiveness for her misdeeds. Surprisingly, the spell had no effect on the Clio and she really loved Sonny. Wives of Zeus asked for leniency to the muse. When the artist came to Olympus, he called the supreme god to the battle. Zeus was struck by his courage. Clio said – she did not need immortality, she only wants to be next to Sonny. Declaring that they both received Xanadu – the ability to create and to love – thunderer let boy and girl be."
ohcalcutta,
thescarletpimpernel,"In the midst of Great French Revolution, actress Marguerite fell in love with Sir Percy & agreed to marry him. Soon the actress announced their intention to public. Hearing this, Chauvelin – former lover of Marguerite – was infuriated. Being a revolutionary, he hated the aristocrats. In the night of Percy’s, the actress’ & her brother’s departure, Chauvelin using blackmail forced the woman to tell about the Marquis de St.-Cyr – he was a friend of the groom of Marguerite. Soon nobleman & his family were executed. After the wedding, Percy heard that Marguerite was involved in the death of de St.-Cyr. The relationship between the spouses began to chill.  The Englishman decided to right the wrongs committed by his wife. He gathered companions of noblemen to fight with the French revolutionary authorities. Percy took the pseudonym ‘The Scarlet Pimpernel’. For the removal of the possible tail, aristocrats spent their time in seemingly carefree fun. When the participants of ‘The Scarlet Pimpernel’ League saved a lot of Frenchmen, Chauvelin decided to expose these secret helpers. Marguerite did not understand why her husband had changed so much after the wedding – a secret activity of Percy was concealed from a woman. Suddenly in England came Chauvelin. He tried to make the actress help him in finding the League’s supporters, but Marguerite refused to cooperate with the officer. Soon Percy knew about their meeting. Now he was sure that his wife cannot be trusted. & yet, the man continued to secretly love Marguerite.  Soon, Percy & his friends were invited to the royal palace. Nobles persuaded the Prince that their trips to France only needed to buy laces & having entertainment. In such way, they avoided the suspicion of involvement in the League. Chauvelin once again came to Marguerite. He told the actress that her brother was arrested as a member of the League & he could face the death penalty. The officer demanded that the woman exposed the Scarlet. Otherwise Armand would die. At the Royal ball, Marguerite asked her friend Percy to arrange a meeting with the Scarlet. Saw her masked husband, the woman admitted that she was blackmailed by Chauvelin, who demanded to reveal the identity of the leader of the League. The actress pleaded Scarlet to save Armand. Percy was happy to know that his wife was just a victim of circumstances. Soon, the Englishman with his comrades went to save Armand. Marguerite also secretly went to Paris.  The woman tried to secretly obtain information about her brother, but Chauvelin revealed her & the actress was thrown into prison. The officer decided that he would execute his former lover. Suddenly, Armand helped Marguerite to get out of the jail. When they went on members’ of the League meeting, they exposed a place to Chauvelin, who organized Marguerite’s escape to follow her. Marguerite learned the secret of her husband. Percy struggled with the officer at swords & lost him. Soon the head of the Englishman was cut down on a guillotine. Chauvelin sent troops to report on the execution of the Scarlet. Surprisingly, it was found out that Percy was alive – on the scaffold was his wax replica. The remaining soldiers with the official were supporters of the League. Binding Chauvelin, they placed beside him many evidences pointed to the fact that the official himself was the Pimpernel. Then Percy, Marguerite & Armand with his friends went home."
movinout,"In 1960 in Long Island lived five friends. The young people have finished studying in high school. Two of them have become king and queen of the prom. After this evening, they decided to end up their relationship. Another pair of lovers, on the contrary, only affirmed their feelings. Another two have decided that they would get married soon. And the last fellow was busy looking for his true love. Soon between him and girl named Brenda a serious relationship begins.  The Vietnam War continued. Three friends were recruited and sent to the front. Their girlfriends left at home and were waiting for the returning of their beloved ones. During the bloody battle, James was killed. After serving due time, two of them returned home. They were completely broken by the death of a friend and what they had to do during the war. Even harder for young people was to look into the eyes of a widowed Judy. The guys could not forgive themselves that they have survived, and their friend – not. War veterans began to collect their lives bit by bit, trying to get used to a peaceful everyday life. Tony did not know how to communicate with Brenda again, to revive old feelings. Eddie could not establish a personal relationship with anyone. The war left a heavy wound in his soul, which a young man tried to forget with all available means. He plunged into the depths of hatred and self-destruction, started to take drugs.  Once met Judy, the veteran began to tell her about what happened to him during the war. Eddie again went through the hell of memories, but now he was helped by a friend nearby. Dividing his pain with those who also suffered, the young man got rid of self-hatred. Meeting in the park with a longtime girlfriend, her understanding and forgiveness helped Eddie to give up taking drugs – he began again to see the road before him, leading to the future. Tony managed to find the strengths inside to make it up with his girlfriend. The old relationship began to revive between them. All this time, Brenda continued to love a young man. Soon wounds of veteran started to tighten. Thanks to the sincere feelings of Eddie & Tony, friends were finally able to realize that they are back home. Their war was left behind and now former soldiers might lead usual peaceful life."
dogfight,
applause,"Margo Channing. Around her, as around the pivot, the whole plot revolves. It is a character that is typical for Broadway and for the theater’s world in general – superlative theater actress, who is very smart, talented, charming, beautiful, and in general is in her heydays. In few words, at the top. Not wanting to even think about that someday will be the sunset. She is now bathed in the glory and admiration of all around, being the most powerful person in her environment.  The musical tells about show business and that scene should be a place where a true actor feels as comfortable as possible. As one of the participants of the world of the theater told, the scene – is a place where the real actor wants to die. Margot, according to the scenario, rushes to the stage where the actors rehearse their upcoming performance, and arranges small brawl, because her shortcomings are as big as her pluses. She is unbalanced, narcissistic, self-centered, but at the same time, is afraid that her future husband, who plays the role of the director of this show inside of the show going on stage, the balanced and nice person, will not take her as wife because of age – in fact she is already 40.  Eve Harrington plays a comely and selfless girl (at the beginning), the exact opposite of Margo, whom she admires, because once upon a time Margo saved her from the endless melancholy and unwillingness to live, by showing that life can be bright and emotional. As it turns out later, Eve is not so nice, but very heavy, because she with time captures with her charm all close people to Margo. The latter, in retaliation sharpens the teeth and claws on Eve and shows all her furious nature.  The second act reveals the true soul of Eve gradually, as she is seeking the replacement of Margo on scene, and all the critics admired her acting. She admires herself and it turns out that she is very arrogant person. She charms the producer and the stage assistant, and even tries to openly steal the groom of Margo, the director of the play. In the song One Halloween, she further reveals herself when singing, with a line that no one cares how you reached the top when you're already there.  Producer discovers that the past of Eve was not so tragic as she told everyone and so she much be in his bed only, instead of being jumped to other influential people’s beds in the theater to go on top, threatening her that otherwise she will not play in the theater at all. Eve agrees and Margo finally understands the transience of life and the zero price of public admire."
kismet,"Fate is one of the immutable things. Everyone, even the smallest one, can give more or less clear idea of this notion. “This is fate” – here & there you can hear such explanation of any event. But more often – of incredible turns in human lives. This skein of fate begins at the East. Three beggars sitting near the mosque & ask for alms. In their talks, they constantly mention the fourth one, whose name is Hajj. He recently left them to go to Mecca. At the same time, near the mosque sits beggar-poet trying to sell his poems. Along with him is his beautiful daughter Marsinah. The poet suffers defeat after defeat, because nobody wants his poems. & then he sees the other beggars.  The man sits down close to them, overhearing their conversations before & he names himself as a cousin of Hajj, being called by the same name. By cunning, he earns a few coins, threatening to all pass-by people, that if they did not leave him alms, he would curse them. & it would be nice, but the new Hajj is spotted by famous thief named Jawan. He is furious & demands from Hajj to remove his curse, which he allegedly imposed on Jawan many years ago, after which his young son was missing.  The poet was no fool. He spotted an opportunity to earn extra money & put the robber a condition: a hundred gold coins in exchange for the removal of curse. Jawan keeps his word & gives the poet hundred gold coins & then went to Baghdad to finally find his long-ago lost son. Hajj met his daughter & gives her half of the amount, so that she could spend the money on own needs & they separate on the market. The same day, in the city there is the vizier of the Caliph with his first wife, the beautiful Lalume. They discuss the bad plight of the vizier, who took money from the ruler in exchange for the marriage of the Caliph on at least one of his daughters, which will be presented at the upcoming reception.  The young Caliph walks across the market, together with his advisor Omar, when between rows notices Marsinah. He is fascinated by her beauty, and, having escaped from the attention of the counselor, walks behind her, until finally catches her up nearby the house, which a girl selected for herself & her father. Caliph slips into the garden behind her, saying that he was a gardener. They fall in love almost immediately & agree to meet at the same place later. Meanwhile, the guards noticed that on the coins for which Hajj buys provisions, is an emblem of Jawan house, known robber & take him to submit to the court of vizier. Vizier do not need any proof of guilt or innocence, he immediately made a Hajj sentence of lashes & amputation of the right hand, but a cunning poet is unhappy with the whole idea, arguing that he is the poet & storyteller & both hands are essential for him. The wife of Vizier, conquered by Hajj, convinces her husband to spare him. But the vizier is adamant: he appoints more strikes to a poet, during which he curses a vizier. And then the guards run in, reporting that they have arrested Jawan.  Rogue bursts into the House of the Vizier & recognizes in him his son, who immediately orders to execute his newfound father, explaining that he is the leading judge & he shall not be the son of the leading criminal. After the execution of the sentence, Vizier realizes that he obviously, is really cursed & wants to proceed the execution of the poet, as the Caliph breaks in with the news that he had found himself a wife & the reception of other princesses may be canceled. Vizier, in horror & delight, offers to Hajj a position of emir & Hajj agrees. The poet does not know yet that the Caliph chose his daughter to be his bride & the cunning Vizier prevents the meeting of the Caliph & Marsinah, lying to the Caliph, that the girl is just his new concubine. But Hajj destroys all greedy & dishonest Vizier’s plans, returning beloved to each other & removing Vizier from the way to receive the gratitude of happy ruler."
warpaint,"War Paint is a musical with book by Doug Wright, music by Scott Frankel, and lyrics by Michael Korie, based both on Lindy Woodhead's 2004 book War Paint and on the 2007 documentary film The Powder & the Glory by Ann Carol Grossman and Arnie Reisman. The musical focuses on the lives of and rivalry between 20th-century female entrepreneurs Elizabeth Arden and Helena Rubinstein."
honk,"Spring finally comes. Drake & Ida are waiting for the eggs to hatch. Among them, there is one unusual – very big egg, which seems to be a turkey’s one. All eggs have hatched except for the fifth one. While Drake is going to teach his kids to swim, Ida stays & waits for her last child.  Ugly finally appears. The mother's shocked, but happy it isn't a turkey at least. She starts teaching him to swim & finds out his extreme talent. When the father returns back, everyone begins laughing at an ugly kid. Since that time, he understands he is completely different from others. Only the Cat agrees to be his friend. Ugly's very happy with this. However, he does not understand, the Cat wants to eat him. The mother does not pay attention to him. So he goes away with his new companion. When the female finds out that one of her children's missing, everyone starts looking for him.  Children, who are playing the ball, occasionally through it into the window. That's why the Cat falls into the pot. It makes Ugly think his new friend is hiding. He begins searching for the place of his own. Thus, he gets lost. Meanwhile, nobody is able to find Ugly & everyone's very upset. Ida gives an interview for Jay Bird. The mother cannot believe he's dead. Therefore, she continues the searches.  Ugly meets military geese, who decide to help him to find his home. The Cat proposes to help, hoping to finally eat Ugly. Ugly understands that his so-called friend is just a liar.  Ugly continues his way & comes into a house, where he finds a domestic cat & a chicken. They laugh at him. However, after turning on a TV, all three characters see Ida’s interview about her missing kid. Ugly says, she's his mom & the cat dials the number on a screen. Then the Cat appears. He looks the same as Drake. However, Ugly understands, who he really is. Two cats fall in love. The chicken helps Ugly to run away.  Ducklings' father is going through hard times with his teenagers, while the mother keeps looking for the lost son. At the same time, Ugly meets a swan, who understands he's a swan too. She offers him to fly away together. He falls in love with her. But he refuses to fly & thinks she cannot love anyone like him. Then, he meets a Bullfrog, who tells him that ugliness is just a matter of taste & nothing else. The Farmer catches Ugly, but the Cat appears & proposes a deal. He will show the way back home, but Ugly must be his meal. Ugly agrees. Both of the get into the blizzard. The mother notices it & thinks her kid is dead. The swan with her family comes to help Ida. When Ugly wakes up, he understands, who he really is. Then he reunites with his mom. Ugly & the swan confess their love. The family of swans invites him to know more about their life. But he finally decides to stay with his mother & the beloved one. Ugly frees the Cat. When he sees, who Ugly is, he runs away in defeat. In the end, everyone loves Ugly & asks to forgive them, which he does."
bloodbrothers,"A certain house cleaner who works for a wealthy couple already has a few children, but learns that she is pregnant again. The wife of the house owner, on the other hand, is childless, and very much wants to have her baby, but she and her husband would not succeed. He also does not want to adopt. And when her maid learns that she will have twins, she realizes that she is not financially able of two and negotiates with the owner, who wants to adopt one to make him to be her child. Adjusting everything, as she was a mother, after his birth she takes a boy child. Eventually she had to fire a worker since she was spending too much time with now a child of the house owner, out of jealousy.  After 7 years, the house owner discovers that the boys came across each other, and this did not satisfy her. Following a picture of the world, formed in her mind, where the boys have to be separated, she convinces her husband to change the house to move away. And so they do and another 7 years boys do not see each other, until one day encounter again. They decide to be blood brothers and they now more tightly walk through life together. At the age of 18 years, one of them becomes an accomplice in a robbery attempt, which failed, in order to earn for a living, because he was fired from the factory where he has worked. During the robbery, he becomes a complicit in the murder and they find him and throw in jail for 7 years, of which his mother was unspeakably sad.  After an early release for good behavior, he learns that his girlfriend is seeing his twin brother. They haven’t worked out with the girl because of his chronic depression over the prison. Grabbing a gun, he rushes to his twin to shoot him. His mother runs to a job place of the second son, who is now a lawyer, not to give one to shoot the other. Been there, she said to both of them the truth about their origins and the first throws the gun to the ground, but it accidentally shoots, killing his brother. The police, who ran for preventive purposes, in order not to allow the crime happened, shoot him despite his assurances about the accident detonation. And now they're both dead in the same day."
suessicalthemusical,
raisin,"The place of action of this staging is in Chicago. It is the year of 1951. An African-American family is in the center of the plot. It consists of a mother, a father and his mom and their little son. All of them live together in an extremely small flat. The man works as a chauffeur, but he still hopes for a better life after getting his father’s insurance. He has a plan to purchase a liquor store and become a wealthier man, but his mother is strongly against the idea of selling alcohol. She in her turn dreams of buying a house for the family. This difference in purposes makes tension between them. They have various points of view on how to spend the money, which was left by his father.  Despite his mother’s disapproval, the man signs a contract together with his two business partners. The main character also has a sister, who is in college now. She falls in love with a student, who has come from Africa. The mother of the man announces that she has bought a house, which is located in the district full of white people. Her son is in rage because of her actions and he leaves their apartment.  The woman is looking for her son and finally finds him drinking in a bar. She gives him both her apology and an envelope with a big sum of money. She offers him first to pay for the sister’s education and then take all the rest of the cash and spend it the way, he considers right. The white man comes and proposes to purchase back a house, the old woman has bought from him. One of the partners of the main hero appears to run away with the money. This fact makes the man to accept the deal and sell the new house. His sister argues with him, as she thinks that he has no principles, while their mother understands the situation and approves his decision. By the end, the family decides to move to a new house, despite all the difficulties."
